用户id,用户名,种子id,标题,小标题,体积,发布组,分类,分辨率,多集,新合集,旧合集,双语,NF,发布时间,单种工资,备注,总魔力,更新时间
92502,minionslsz,135212,Produce 101 2019 WEB-DL 1080p H264 AAC-HDSWEB,创造营2019 正片+会员Bonus  全112期 | 嘉宾：迪丽热巴 郭富城 苏有朋 黄立行 胡彦斌 张大大,95.06GB,HDSWEB,综艺,2K/1080p,,,112,,,2020-05-03 21:04:43,112000,,,2020-05-11 23:47:54.500615
92502,minionslsz,135239,Hunting 2020 E36-E37 WEB-DL 1080p H264 AAC-HDSWEB,猎狐 第36-37集 | 王凯 王鸥 胡军,1.21GB,HDSWEB,电视剧分集,2K/1080p,2,,,,,2020-05-04 00:54:31,4000,,,2020-05-11 23:47:54.500615
92502,minionslsz,135242,Produce 101 Bonus E02 20200503 WEB-DL 1080p H264 AAC-HDSWEB,创造营2020评级全纪录 / 创造营2020 会员Bonus 第02期 | 嘉宾：黄子韬 鹿晗 毛不易 宋茜 大张伟,1.16GB,HDSWEB,综艺,2K/1080p,,,,,,2020-05-04 01:38:29,2000,,,2020-05-11 23:47:54.500615
92502,minionslsz,135327,No 2 Middle School 2014 WEB-DL 720p H264 AAC-HDSWEB,茶啊二中  第一季 - 第四季 + 三部番外 全104集,6.96GB,HDSWEB,动漫,720p,,,104,,,2020-05-04 19:48:44,104000,,,2020-05-11 23:47:54.500615
92502,minionslsz,135339,Hunting 2020 E38 WEB-DL 1080p H264 AAC-HDSWEB,猎狐 第38集 | 王凯 王鸥 胡军,0.62GB,HDSWEB,电视剧分集,2K/1080p,,,,,,2020-05-04 22:54:40,2000,,,2020-05-11 23:47:54.500615
92502,minionslsz,135349,Shu Ling Ji 2019 WEB-DL 1080p H264 AAC-HDSWEB,书灵记 全30集,6.12GB,HDSWEB,动漫,2K/1080p,,,30,,,2020-05-05 00:04:16,30000,,,2020-05-11 23:47:54.500615
92502,minionslsz,135350,Cocosoul 2014 WEB-DL 1080p H264 AAC-HDSWEB,腾空的日子 全3集,1.47GB,HDSWEB,剧集（合集）,2K/1080p,,,3,,,2020-05-05 00:07:06,3000,,,2020-05-11 23:47:54.500615
92502,minionslsz,135353,The Black Troop The Arrival Of Deities 2019 WEB-DL 1080p H264 AAC-HDSWEB,雄兵连之诸天降临  全26集,8.08GB,HDSWEB,动漫,2K/1080p,,,26,,,2020-05-05 00:09:29,26000,,,2020-05-11 23:47:54.500615
92502,minionslsz,135354,Produce 101 Bonus E03 20200504 WEB-DL 1080p H264 AAC-HDSWEB,创造营2020评级全纪录 / 创造营2020 会员Bonus 第03期 | 嘉宾：黄子韬 鹿晗 毛不易 宋茜 大张伟,2.35GB,HDSWEB,综艺,2K/1080p,,,,,,2020-05-05 00:13:23,2000,,,2020-05-11 23:47:54.500615
92502,minionslsz,135355,Produce 101 Bonus E01 20200504 WEB-DL 1080p H264 AAC-HDSWEB,创可少女屋 / 创造营2020 会员Bonus 第01期 | 嘉宾：黄子韬 鹿晗 毛不易 宋茜 大张伟,0.37GB,HDSWEB,综艺,2K/1080p,,,,,,2020-05-05 00:15:18,2000,,,2020-05-11 23:47:54.500615
92502,minionslsz,135357,The Great Warrior Wall 2018 WEB-DL 1080p H264 AAC-HDSWEB,巨兵长城传 全40集,10.45GB,HDSWEB,动漫,2K/1080p,,,40,,,2020-05-05 03:56:20,40000,,,2020-05-11 23:47:54.500615
92502,minionslsz,135358,Deadly Response 2019 WEB-DL 1080p H264 AAC-HDSWEB,绝命响应 全30集,7.2GB,HDSWEB,动漫,2K/1080p,,,30,,,2020-05-05 04:04:36,30000,,,2020-05-11 23:47:54.500615
92502,minionslsz,135385,Tales From Journey To The West 2014 WEB-DL 4k H265 AAC-HDSWEB,西游记的故事  全52集 | 第20届上海电视节白玉兰奖,10.26GB,HDSWEB,动漫,4k/2160p,,,52,,,2020-05-05 10:49:49,78000,,,2020-05-11 23:47:54.500615
92502,minionslsz,135426,My Three Body S01-S02 WEB-DL 720p H264 AAC-HDSWEB,我的三体 第一季+第二季 全22集,4.54GB,HDSWEB,动漫,720p,,,22,,,2020-05-05 18:27:31,22000,,,2020-05-11 23:47:54.500615
